seg1,seg2,label,contradiction type,issues?
my son likes to play basketball,she is still too young for playing football ,self-contradiction,lexical,not necessarily a contradiction
"Yes, I can definitely relate to that. Have you experienced social phobia or known people who do?",Yes i think working together is great. I enjoy being in social activities.,self-contradiction,lexical,Missing Context
"I enjoy reading occasionally, my favorite genre is romance",Nice! Horror is my favorite genre because I like being scared!,self-contradiction,lexical,
"oh , great . my girlfriend wants to be a mom . we have been together 7 years .",My girlfriend doesn't like kids,self-contradiction,negation,
"Yes, I love pizza! ","Not really, I'm not a pizza guy.",self-contradiction,negation,
"nah but i do speak 3 languages , do you speak any languages ?",I wish I knew a second language,self-contradiction,structure,
23 years and she says its all worth it,Not really.  My mom can't wait to retire.  She hates kids.,self-contradiction,lexical,Missing Context
"oh. my god. i never fiinished college, so i'm willing to listen to you explain your psychic visions to me","I traveled a lot after I finished college, I want to get back to traveling soon",self-contradiction,negation,
i love to read books . you ?,Oh me too! I just hate reading books,self-contradiction,antonymy,
oh my goodness! That is scary! I am glad to hear you are ok.,I wouldn’t even worry about it. Doesn’t seem scary to me at all.,self-contradiction,negation,Missing Context
"super for the ice caps and my diet coke ! you did not pass the coke test , btw","I don't either, regular Coke all the way!",self-contradiction,negation,Missing Context
"I'm not strictly a vegan, but I am a vegetarian. Sometimes I eat vegan.","Health reasons, I eat nothing but animal products and I feel great.",self-contradiction,WK,
i'm nervous . i'm so young ! only 26,I  am happy for my first born twins.This is my first motherhood feeling.,self-contradiction,lexical,not necessarily a contradiction
"I used to ski when I was younger, but I switched to snowboarding. I found there was less equipment to keep track of on the mountains. ","Yeah I've never had the balance for board sports, I usually stick with the skiing and such.",self-contradiction,lexical,
Oh no. The shower is the plus side to all the dirt I guess. I once found a snake digging a hole to plant a flower. I quit that day.,"I still do it occasionally, just more careful now when planting anything.",self-contradiction,lexical,not necessarily a contradiction
"I'm not very handy when it comes to plumbing, but I have some community contacts with social services that could help him to set things up if he is willing.",Pathetic old man. I'm a professional plumber. I'll fix his stuff for free and bill the landlord.,self-contradiction,lexical,
i myself have a bulldog love the little buggers. ,"I dont have a dog, I only like cats, I have two named Jasper and Kylie",self-contradiction,negation,
"Almost 10,000 eh?  That sounds like a healthy economy if one is judging population growth as an indicator.",I think that the population rising is not a good sign for the state of the economy.,self-contradiction,negation,
"I'm more into movies, I really liked the Penguins in the animated ""Madagascar"" movie.","I don't really like movies, they are mostly repeated story lines",self-contradiction,negation,
"Red is an important color in China, where it was used to colour early pottery and later the gates and walls of palaces.",Yeas  i know  this  even i do not  think it  is an important  color  to  china  ,self-contradiction,negation,Missing Context
"Hi, I do yoga every day since it helps me relieve stress and anxiety!. ","I could never do yoga, it sounds too hard. ",self-contradiction,lexical,
I did not know that,you where right in first place it was Norwegian,self-contradiction,negation,Missing Context
cool . what is your favorite song ?,"I actually only like 1 song, but since I am the guitarist, I don't song or write lyrics.",self-contradiction,N-a,not really a contradiction
Well thats very interesting. Nature is beautiful and unpredictable. I have 3 teenagers so my day is consumed. How old are you?,I don't have any child. I am planning to adopt soon.,self-contradiction,negation,
Do you know any tourist attractions in Paris? I am hoping to visit one day.,"I have been there! On my last tripp to Paris, I went to Champ de Mars.",self-contradiction,negation,typos
no I haven't. Where were you?,Oh I know what betta fish are!,self-contradiction,N-a,Missing Context
"That is fair, I should have specified. Some people would have retrospectively been able to appreciate her work, had they known. She still wouldn't have appealed to everyone.","Anyway if people have appreciated her work also, she may still have to appealed to everyone. ",self-contradiction,negation,Missing Context
My daughter kept talking to me while I was trying to work. I didn't get much done at all.,I'm able to focus completely on my work since I live alone and can get lots done.,self-contradiction,lexical,
because my dad worried about income . i just want to move out .,Actually while he's drunk i do collect money from him. That's why i want to stay with him forever.,self-contradiction,lexical,Missing Context
It's hard. I still struggle sometimes. I think one big help is having a hobby. Mine is pottery making.,I'm fine and have gotten over her death.,self-contradiction,lexical,Missing Context
How many?,How many ?,self-contradiction,N-a,
yeah i am always right and i will spend my money in any place that i can get stuff cheap ,"I hate having to help all of these people, customer service is the worst thing about my job ",self-contradiction,N-a,Missing Context
"Yes, I enjoy nature as well, but in doses. But, a hike along a creek and fresh air, that's refreshing and relaxing. ",I wish I could travel more but I'd rather stick to urban areas. I really dislike being in nature.,self-contradiction,lexical,
"Lol,  well done for attempting it. Did you make it to work on time?","You could have at least tried to fix it, damn.",self-contradiction,N-a,Missing Context
YES I LIKE IT. JAZZ IS A MUSIC GENRE THAT ORIGINATED IN AFRICAN AMERICAN COMMUNITIES.,"Jazz is boring, and I don't like it.",self-contradiction,negation,
i'm good do you work,sorry I didn't ask you that,self-contradiction,N-a,Missing Context
I am happy for you. Just keep going,"No, I think it's a bad thing that you've lost weight so fast.",self-contradiction,negation,Missing Context
Have you ever heard about the pow pow. It is a kind of social gathring,I don't know about pow pow,self-contradiction,negation,typos
oh great . and you help me select the right music to always play,You never help me with anything.,self-contradiction,negation,
usually once a month . how has your weekend been ?,Oh yes . I cut loose all the time.,self-contradiction,N-a,Missing Context
I have rescue as well. Her name is Bell. Do you like to read?,I don't have a dog right now.,self-contradiction,negation,Missing Context
originally europe but now in new york lol,i have never been to new york,self-contradiction,negation,
"lucky , i am still trapped in the student cycle of reading psych articles for fun .","Interesting. Do you need a degree for that? I dropped out of high school and never returned to education, which is why I'm asking.",self-contradiction,lexical,
i use the internet a lot because i am in college part time .,"Blogs? No thank you, I don't have any internet access so I can't use it.",self-contradiction,negation,
yes i do i've a dog and 2 cats at the moment,"I wish I had any pets, they sound fun.",self-contradiction,negation,
I love eggs as well. I don't eat them a lot because the smell sometimes makes me sick though.,"I love the smell of eggs, it's never bothered me.",self-contradiction,lexical,
Wait what does that mean what i think it means?,Of course I have. I knew what you meant.,self-contradiction,structure,
Skydiving sounds like a lot of fun. I need to go!,"I wish I could, but I'm too afraid of heights to try it.",self-contradiction,lexical,
"running , as i cannot drive . i have to walk everywhere , unless my husband takes me .","It sounds like it would be, I love driving my mustang around.",self-contradiction,lexical,
"that is funny , that is my favorite food as well .",grosssss.  I'm refraining from eating meat.  I love animals!,self-contradiction,lexical,Missing Context
"Well, I am an night owl, I do not think I can change the way I see it",i do because i normally sleep early every day and i do get 8 to 9 hours of sleep everyday.,self-contradiction,lexical,
"Yes, bakers have been the backbone of society for some time.",I don't think so. Bakers are not that important. ,self-contradiction,negation,
Can these kids go to college?,"No, you are wrong. These types of children are not allowed to go to college.",self-contradiction,negation,Missing Context
"hi ! i am doing alright i am not very healthy , but otherwise i am good","I'm very healthy, don't like candies, it upsets my stomach.",self-contradiction,negation,
"I like the veggie the best, what do you like best?",Seafood is the best!,self-contradiction,lexical,
it is a dance program for preschool aged girls like myself .,I hate going to the beach.,self-contradiction,N-a,Missing Context
lucky ! i wish i could be a chef !,"I wouldn't want to have to cook for myself, it sounds like a lot of work.",self-contradiction,lexical,
Don't be ashamed or set yourself short espcially since you worked so hard. If you feel scared or hesitant to do so than I would talk to her boss to possibly set up a meeting.,Ii wouldn't push it by talking to her boss or initiating a meeting. ,self-contradiction,N-a,Missing Context
I interviewed at my job for a promotion. I knew I was the top candidate.,"Yeah, there was another person that I knew would get it since they were a better candidate, but I beat them out.",self-contradiction,lexical,
"good ! i am trying to learn all i can about american culture , to fit in .",do you need to know about it,self-contradiction,structure,Missing Context
"Never heard of the Tewa people, so while that's a little interesting, it doesn't do as much for me. Can you leave me with one really interesting fact about it that could help me?","Huh, doesn't do much for me. I'm looking for a small, quiet place to settle down. Boring would be better.",self-contradiction,antonymy,Missing Context
yeah . i hate the dentist,I love the dentist. It is fun to go there.,self-contradiction,antonymy,
"I bet,  I wish some people had better manners.",Most people show  good manners. That was not gross.,self-contradiction,lexical,not necessarily a contradiction
He stole money after I was boasting about having plenty of clients this week.,"Only 3 right now, I sure could use a lot more though!",self-contradiction,numeric,
Dogs are better anyway. How many dogs do you have?,That's a lot. Cats are way better than dogs in my opinion.,self-contradiction,lexical,
"good afternoon , i just finished my lunch . shrimp and lobster . yum . how about you ?",That sounds awesome to me right now. I haven't eaten since last night.,self-contradiction,negation,
That's good for you then. What I like most about the library is that it has physical and digital resources as well.,The resources at the library are not very useful. I would avoid them.,self-contradiction,lexical,
"This is so true. I am an introvert and people sometimes think being alone is lonely, but to me solitude is peaceful.",I am an extrovert,self-contradiction,antonymy,
"That's good,  you don't want to get soaked and catch a cold.","Yes, you want to get wet and you will feel better.",self-contradiction,negation,
"Of course,  it's always better when family is close. I hope you can visit with them soon!",I hate when family is too close. I don't like having to see them all the time. ,self-contradiction,lexical,
i go to church every sunday .,I never go to church.,self-contradiction,negation,
i work in IT ,I love it. People always give me big tips for being such a great waiter. I never forget their orders.,self-contradiction,lexical,
"Hello, tell me how the name poodle came about",don't really care about poodles,self-contradiction,negation,
"Oh yes. I used to have them with diet cokes, which defeats the purpose but they were very delicious.",Gross.  I diet cokes taste terrible.,self-contradiction,lexical,
"Wow, i only have one and she is exhausting. ",I don't have any just yet but I want one in the future,self-contradiction,negation,
"Yes I am good at math. For now I am mainly doing book keeping work, nothing too complicated. ","Okay,sometimes too I fail to be really accurate in math, I guess I am just lazy at details.",self-contradiction,lexical,
He has written several. He has also written books from our travels in Ireland and Australia.,"My father had always wanted to write a book about those places, but never got around to it.",self-contradiction,structure,
work in the library at the small community college I attend. it doesn't pay that great but I have access to the material for school. how about you?,"Cool! I work at the flea market, maybe I can help you sell some jewelry. ",self-contradiction,lexical,
"Sadly, I think it is. Two out of three men in the US are considered to be obese or overweight and the rates for women are actually much higher.",It's not that big of a problem.  People will be fine.,self-contradiction,lexical,Missing Context
They do. Louis Chevrolet and William C. Durant started the company in November 1911 as the Chevrolet Motor Car Company.,Cars are so boring. I know nothing about the history behind them.,self-contradiction,negation,
"maybe , so i keep getting divorced",I and my wife would like to go on walks,self-contradiction,lexical,
"I like tailgate parties during duck hunting season, my fave!",The only thing I can't stand are the tailgate parties in the parking lot when I am trying to leave. ,self-contradiction,negation,
the worst part about my life is that i am allergic to water,"No, but I love water because it clears my skin.",self-contradiction,lexical,
fish are pretty but unfortunately i cant eat them,Me too! I catch every fish I catch.,self-contradiction,N-a,typos
"He served 30 years, then took early retirement. Not sure how many aircraft they have, but I do know they're one of the most technologically advanced air forces in the world.",My brother didn't retire early.  He is actually still in the Air Force now.,self-contradiction,negation,
ya i am their texas,I live in Alaska. Very different from Texas. Would love to see it sometime.,self-contradiction,lexical,
"i wold say fish steak but i really love beef steak too, and over all i like them medium-well.",I hate steak and if I was to eat one it would have to be well done.,self-contradiction,antonymy,
I went hiking with some friends and we had a great view of the sunset so we stuck around.,"Hiking sounds boring, I'd go to the movies rather than hiking.",self-contradiction,lexical,
I can still remember hearing them on the radio a lot.  I wonder where they are  now.,I never listen to the radio and I never did.  I only listen to vinyl.,self-contradiction,negation,
Cool! That sounds like a lot of fun! I bet it will be a blast for you.,Going boating down the river seems kind of boring though. You should do something different ,self-contradiction,lexical,Missing Context
Are you going alone or with friends. I like going with my friends,I do not like going with friends,self-contradiction,negation,
"It's still a work in progress,  but we tested the transmission before we put it in. It works wonderfully and came out of a car that only has 90, 000 miles on it,  versus mine that has 200, 000. I would like to get a new car,  but I don't want to take on another payment until my house is paid off.","No, we wanted to wait until we are able to stop reting and find somewhere permanent to live.",self-contradiction,lexical,
I'd like to report on historical stories that are still relevant.  My mom is a librarian and I've always had a soft spot for research.,Although I hate researching so sometimes if a story is there already I'l just jump on it.,self-contradiction,lexical,
"Ah yes, Ive always wanted to visit Georgia but never got around too it. Whats the biggest city there anyways? ","Alright, I've never wanted to visit Georgia anyway. ",self-contradiction,negation,
Yes it is! I don't really know much about it either,"Yes, I did know that. I know all about Woodstock. ",self-contradiction,negation,Missing Context
"That is impressive,  congrats on raising a smart kid!",it's really not that impressive.,self-contradiction,negation,Missing Context
It was nice of you to at least think of it. I'm sure she wasn't that upset.,"She was probably really upset, just make sure to do something nice for the elderly next time it comes up.",self-contradiction,negation,Missing Context
"I love cats,  did you punish her?","That's a nice name. I'd never get a cat, I hate them. ",self-contradiction,antonymy,
sounds like fun . i am afraid of heights so are my dogs .,i have cats not dogs,self-contradiction,lexical,
You should seek revenge.,You shouldn't seek revenge.,self-contradiction,negation,
I try and spend a lot of time working out but sometimes the pizza gets the best of me.,I'll take any kind of pizza as long as it's free of veggies,self-contradiction,N-a,Missing Context
i like bambi you just made me cry,"That's okay, I never liked bambi much anyway.",self-contradiction,negation,
I remember when a movie ticket was a dollar.,Yeah I just wish it was cheaper. I think the cheapest ticket I ever paid for was $10. ,self-contradiction,numeric,Missing Context
I was very well prepared for my law exam.,I didn't study for the test at all.,self-contradiction,lexical,
"No. my dad took me hunting once or twice when i was younger. He died when I was in high school, and I never felt the urge to go alone","I don't hunt and I never would , I think it wrong to kill animals.",self-contradiction,negation,
I retired in 2011 it is weird being retired but I do enjoy it.,"Well, I have not retire yet, I am still in the Navy",self-contradiction,negation,
"Yes,  Sounds like you deserve one! Keep working hard and show them you earned it.",Why would they consider a slacker like you! You've always been lazy.,self-contradiction,antonymy,
I do! I look forward to it every year. Always a real tree too. Do you do a real tree or fake tree?,"Yeah sounds good. I got to get a new tree this year the fiber optic lights on my fake tree have gone , so I need a new one.",self-contradiction,lexical,
"I love it, I bought a house and am looking to settle down.",Being on the seems like easy work then.,self-contradiction,N-a,Missing Context
I don't think so. She hasn't died yet though so maybe she does.,My Cat died last month.,self-contradiction,negation,
I don't think I could work with my family members. I also prefer to work outdoors. Why don't you?,I love working with family members.,self-contradiction,negation,
i get my love of the heat from my best friend . she's from tanzania .,It's my favorite thing to do. I love the cold winter weather. I hate the stifling heat in the summer.,self-contradiction,antonymy,
I tried to learn snow skiing.  I just never did very well. So I don't like it,"For years, I’m on the US Olympic team. ",self-contradiction,lexical,Missing Context
I grew up in an orphanage - my parents passed away when I was a baby,Honestly the kids are so lucky. Usually I always tend to wonder why my parents left me. I hope the kid's do not end up thinking like that.,self-contradiction,lexical,
So all mammals have hair.  It is different colors and some colors are brighter than others.,Most mammals fur are the same not much is different ,self-contradiction,negation,
We just got back from a trip. Nice trip - but I caught a cold. I'm taking vitamin C for it now. That always works best for me.,"I am feeling great, not sick at all.",self-contradiction,negation,
I didn't know that. I think watching a candle maker make them is pretty cool though.,I just don't care to watch them being made by candle makers.,self-contradiction,negation,Missing Context
"yes , i am going back in college too !",yes i like college,self-contradiction,N-a,not really a contradiction
I just don't see the need for cable television when netflix exists.,I wouldn't say that exactly. I still use cable and don't really see the need for any other subscriptions to netflix or anything when I have a cable package,self-contradiction,negation,
"Ah yes, in medicine.  That must take a lot of time.  I have a lot.  I am single.","Yes, am happily married and living together with my wife.",self-contradiction,lexical,
Cool! I enjoy making music.,I do not like musice,self-contradiction,negation,
"Not really. we take precausions to prevent that. Besides, sick people need someone who wants to be with them no matter what they have.","I know, especially for someone like me who works in a shipyard as a welder",self-contradiction,N-a,Missing Context
"i do not own a horse which is the subspecies ""Caballus"" which are domesiticated","Yes, it is because I own a horse. I can ride it every day.",self-contradiction,negation,
yeah and when days get tough i listen to floyd,I don't. I only listen to music created this century.,self-contradiction,negation,
"Haha,  I hope not...my current girlfriend would probably be a little upset! She's a nice person (the one from high school) but I dont think I could ever marry her",I have loads of feelings! I love her more than anything and I'm currently buying a ring so we can get married.,self-contradiction,lexical,
that's an accomplishment . i like to skydive a lot .,"Yes good, how was your day, tell me your experience to working a novel.",self-contradiction,N-a,Missing Context
"The Italians know how to make an amazing sports car, I love Ferrari's",No. I don't really like the brand.,self-contradiction,negation,Missing Context
"well, I'm not doing much these days, except job hunting myself. your life/career sounds fascinating. I'm proud of you -& don't even know you :-)","If I didn't have a job myself, I would be looking into becoming a baker!",self-contradiction,lexical,
"I wanted to take a break before graduate school, but I chose not to","Well, I did take a gap year, and I went all over southeast Asia.",self-contradiction,structure,
"they are cute , but they are meowing for my tacos , my favorite food !",I like to eat.  I'll eat anything but tacos.  There are terrible.,self-contradiction,structure,
"I agree, I think its because its at the end of the visible spectrum of light",I don't agree red is boring and it is at the beginning of the visible spectrum of light.,self-contradiction,negation,
That's awful.  Its so good they have someone like you who is there for them when they need you most.,to be honest it is none of your business to interfere in someone's life when things happen suddenly. you should give your friends some privacy.,self-contradiction,lexical,
I finally have a good career and financial stability in my life,"I'm sure you will! I hate my current job, but the one I interviewed for yesterday has a lot of promise. ",self-contradiction,N-a,Missing Context
i paint and sell them online . do you know of any other ways ?,"I enjoy solving problems, I'm a mechanical engineer at my job. I have only a few years doing it so I have a boss, but he is very relaxed.",self-contradiction,lexical,
"That's so sad,  I don't even know what to say!",But it did not seem to be so sad and I know how to help you to pass this time.,self-contradiction,negation,
Yes I was.  It was a great experience.  Were you on a swim team as well?,I remember doing that! I hate swimming on a team!,self-contradiction,lexical,
nice . how do you like it ? i am a teacher and i love it .,"Not really. Honestly, I get annoyed and kind of hate it. ",self-contradiction,antonymy,Missing Context
"I absolutely hate public speaking. I did alright,  but I was sweating at the end",I'm sure i did. I love public speaking and have a knack for it.,self-contradiction,antonymy,
"That is a great color. Where do you like to see green the most? On cars, clothing?",I hate green. Feels like the color of sickness!!!,self-contradiction,lexical,
"Yes there is lot of brown hair in my family too, and after all it is the second most common hair color after black hair..","My family is all blonde, and there hair is really long.",self-contradiction,lexical,
i read the walking dead comics and watch the show,"No, I don't watch any TV actually.",self-contradiction,negation,
Well that's sweet. I bet they love you,"Well that sounds like a lot of work, do you all get along?",self-contradiction,N-a,Missing Context
long ! i need a vacation so bad !,I'm on a cruise right now.,self-contradiction,lexical,
I love animals.  Especially my dog.,I am sure it would be quite a sight but I don't like Zebras that much. Their stripes look weird.,self-contradiction,N-a,Missing Context
"Me either. I've always been a fairly clean person. Had to move out of my parents home for college,  and both roommates I've had have been kind of messy. I don't know how people don't feel weird and uncomfortable making other people live in/clean up their mess.",I do live alone already,self-contradiction,lexical,
"I will give it a try, I also had my Masters thesis stored in there. ",I'm not studying anything. I work full-time.,self-contradiction,lexical,
"That's so tragic I have 3 dogs myself,  do you have flyers up?","Oh, well that's good. I hate dogs as well.",self-contradiction,lexical,
"Good for you,eating healthy! I try as well. I bake during mostly holidays.How about you?",Oh I've never tried those. I normally don't bake at all.,self-contradiction,negation,
"yeah of course my wife , 3 kids and 3 dogs load up in my suv","Well, my wife and I have been thinking about getting our first pet. Maybe that's something you can do?",self-contradiction,lexical,
I found a old wooden box that had images of lions and tigers on it.  It was like brand new and I keep jewelry in it.,"Yeah, that's why I've never bought anything from a thrift store.",self-contradiction,negation,Missing Context
That's awesome! what was the project?,Okay.... I didn't really ask you about it...,self-contradiction,structure,Missing Context
eh . i guess so . if i can make 180 bucks a week i am alright .,I make almost $1000 a week! That's a lot of money to me.,self-contradiction,numeric,
Pugs are pretty cool but kinda ugly.,I think pugs are very cute dogs.,self-contradiction,antonymy,
Aww I'm sorry. I always wanted to be a chef or run a restaurant but I don't feel comfortable about cooking for anyone.,Not so happy ,self-contradiction,N-a,Missing Context
I have problem getting motivated,"Me either, I guess we're lucky that we're so motivated!",self-contradiction,lexical,
In my 53 years of being alive I've had it happen a handful of times and it irritates me.,Yeah. I'm thinking of moving down to Florida when I turn 50. It's just gorgeous down there.,self-contradiction,numeric,
"Cats are great, I don't think I would have the time to look after a dog.","But i hate cat ,that is why i prefer looking after a dog",self-contradiction,negation,
my husband does too . i'm not that interested,i don't have a husband im single,self-contradiction,negation,
melody music i like very much,I'd prefer a techno song. I don't like melodic music much.,self-contradiction,negation,
I live a little like a savage I don't have many modern conveniences.  I get lonely.  What else do you do to help your sadness?,nice I have a lot of friends so we play basketball all the time.,self-contradiction,lexical,
I am so scared of clowns. What can you tell me about them?,I don't think it would be terrifying at all. Clowns are so fun and amusing.,self-contradiction,negation,
yes thats correct the Newport Jazz Festival is also held every summer in Newport Rhode Island.,Actually winter is when the festival is held and it gets pretty cold.,self-contradiction,lexical,Missing Context
"That is very true, I am just still very upset. How would you take it?","I would understand it. However, I'm fine with it and not upset.",self-contradiction,negation,
i am great just teaching my horses to do tricks .,"yeah, i don't like teaching tricks for horses",self-contradiction,negation,
I do a little bit of both working and watching/listening to TV - it's my quiet time.,"No, the only thing to do at home is watch TV and I don't like watching TV.",self-contradiction,N-a,Missing Context
"And depending on how severe it is, people even experience varying degrees of social stigma due to it.","there isn't any cause of alarm, socialites should accept them the way they are",self-contradiction,N-a,Missing Context
"That sounds beautiful. I used to enjoy writing, now I more enjoy painting. What kind of mystery?","i paint picture stories, because i never enjoy writing ",self-contradiction,negation,
That's cool.  I like finding old music t-shirts in thrift shops.,"I have never been to a thrift shop, I just find things at flea markets.",self-contradiction,negation,
i remember that time of life ! i'm too busy getting my business started for that .,"Make time for it, there is nothing more important than a romantic relationship.",self-contradiction,lexical,
I love it here. What do you do for a living?,"I really hate it here Missouri, I'm thinking about moving back to Chicago",self-contradiction,N-a,Missing Context
I'm sorry you missed it.,That's corporate for you. But sounds like a good gig since you get paid well!,self-contradiction,lexical,Missing Context
"Oh,  better apologize quickly there!",That's a waste of time and money. There's no reason to apologize. She'll get over it.,self-contradiction,negation,
"tea keeps you awake , do you shop online ?","I know, I buy it online all the time. ",self-contradiction,N-a,Missing Context
Wow that's cool. I never learned how to drive,Me too. I have to drive to work every day too.,self-contradiction,negation,
"No, they both hate getting into the car -- they think it's vet time. Does Rain like the car?",They love staying indoors ,self-contradiction,N-a,Missing Context
Teachers amaze me. Unfortunately they are some of the most underpaid people in the world! ,I certainly wouldn't choose teaching as my profession i had a terrible teacher in high school,self-contradiction,lexical,
Yes the colors are so beautiful in the fall and I love the fashion look as well let's cheer to fall almost being here lol.,"Not really, I'm not a fan of fall since it rains so much. ",self-contradiction,lexical,Missing Context
"I know my mom is a red head, I never met my dad but my mom said his hair color was the same, and he was very light complected like myself and my mom",I will try to get him to tell me about his family history when he gets home tonight,self-contradiction,lexical,Missing Context
Yes! That would be hilarious if a smart speaker would interact with the parrot. I wonder if Alexa would be able to interact with the parrot.,"My parrot tries to talk to Alexa all the time, it never works.",self-contradiction,structure,
"Even, the first paper making process was documented in China too","Well the Chinese did not know more than the Greeks or anyone else about ""paper"". As a group the Chinese were hardly idealist. If it was not for that 1 very intelligent man Cai Lun and his novelty, then the Mediterranean European civilizations would had invented the whole thing.",self-contradiction,negation,
well that is not good i'm a vegetarian,"Me too, every Friday I eat steak with my family.",self-contradiction,WK,
"I work part time at a leisure centre, but I just really hope I can make it as a writer. I forgot to ask, what hockey team do you support?",I never really write. I'm too busy with my full time job working as an accountant. ,self-contradiction,lexical,
Well I guess if that is something you enjoy.  I can't say that I have alot of friends.  Mostly my friends are family ,"I'm pretty satisfied with the amount of friends I have now, I already have a bunch.",self-contradiction,negation,
I have a big test coming up.,I am so glad I am not in school anymore.,self-contradiction,lexical,
You should not be so insecure about your partner.It is not healthy.,i think you're right to feel this way. don't trust your partner,self-contradiction,negation,
"not alot , i might go to church later","I could never follow a religion, too constrictive",self-contradiction,lexical,
oh i'd much rather save the gas money for another trip to italy instead .,"I should too, I never been out of the United States.",self-contradiction,negation,
Yes I feel like yelling at them - But that's just something that I would never actually be able to do!,"I never feel like yelling at them, why would you assume that?",self-contradiction,negation,
I slipped on the white lace runner. My heel got caught on it.,"I am sorry to hear that. Lucky for me, I never used heels in my life.",self-contradiction,negation,
I think I am going to buy some blue jello as a treat. ,"oh, I would never eat blue jello - I'm allergic to the blue dye they put in it.",self-contradiction,negation,
i've two boxer dogs,"I'm so jealous, I wish I had dogs!",self-contradiction,structure,
well age is 17 and i go to a catholic school in new england and you ?,"well in new england, when you're 15 you get switched to a more liberal school",self-contradiction,factive,
"The UK has had such a huge stake in making great music, I guess its no wonder.",do they produce metal music in the UK?,self-contradiction,lexical,
Therapy is a good thing. Its is nothing to be ashamed of.,"You shouldn't fall for it, therapy is for crazies.",self-contradiction,lexical,
I don't listen to any new music anymore,"I may try spotify, i am always searching for new music.",self-contradiction,negation,
hey . i am well . how about yourself ?,"I'm not doing too well today, kind of feeling depressed, but another time for sure.",self-contradiction,negation,
that is good to hear . i am tired . 3 jobs for 6 years is tiring .,I am presently looking for a job. I have not worked for ages.,self-contradiction,negation,
my friend joined the airforce and became an air traffic controller.,I doubt it. He's never really had a dayjob.,self-contradiction,negation,Missing Context
i like outside but i need meat,Consider it? I'm already a vegan!,self-contradiction,lexical,
i like to give my time by volunteering on the weekends .,Being single also makes me busy. Specially the weekends when I go party.,self-contradiction,lexical,
"Yeah,  no thank you for me.",But I find interesting to know this house. ,self-contradiction,N-a,Missing Context
"Aw,  that's disappointing!",Nevermind it's only coffee doesn't taste nice anyway.,self-contradiction,lexical,Missing Context
I love cooking shows. Do you like to cook?,i love tennis it's my favorite hobby ever,self-contradiction,lexical,
I really do. My mother has Alzheimer's so I understand the disease.,"Thank you, but she has already passed away",self-contradiction,lexical,
I've been eating Mexican food almost every day,"Me either, I eat it, at most, once a month.",self-contradiction,lexical,Missing Context
I rarely wear green although I do wear it on St. Patrick's Day when celebrating Irish American culture.,"Mine too, almost half my clothes are green. I'm always wearing something green.",self-contradiction,lexical,
"I agree. Measuring from the bottom of my feet to the top of my head, I'm only 5'4"", so you're a lot taller than I am. ","I don't know a lot, but I think I have that haplotype which would explain why I am almost 7 feet tall.",self-contradiction,numeric,
"Wow, what a great guess! Haha. Thailand, actually. ",We don’t live near the river as our home is at the center of the city. ,self-contradiction,N-a,Missing Context
Wow! Well a cheat day here and there might be okay! Haha,"I am totally against cheat days, so my recommendation is never do this again.",self-contradiction,lexical,
OH wow! Congratulations. First one?,Ahhh...Not the greatest news.,self-contradiction,negation,
It was a popular dish in ancient Greece.,It was not popular in Greece.,self-contradiction,negation,
"i have never been to vancouver . i live in fl , usa .",I should! The last time I was there I went to this great ice cream parlor! ,self-contradiction,negation,Missing Context
lucky you i work in nasty fast food .,"Actually, I love working in food. ",self-contradiction,lexical,
"hello , meat eater , country music , football , hunting and own a huge truck . you ?","I am a vegetarian that loves hip hop music, basketball, and driving sports cars.",self-contradiction,lexical,
I also enjoy traveling!,"Yeah, I agree, I just don't like travelling very much. I prefer other things.",self-contradiction,negation,
pasta is great ! i am really into dogs i am a huge fan,"Yes, I work with dogs at the vets office.  I really HATE dogs so much since they bark so much.",self-contradiction,antonymy,
We get really busy in the Fall with a lot of extracurricular stuff.,We never involve in any extracurricular stuff,self-contradiction,negation,
Sounds like a good thriller. Will they make a movie?,"Well, I hope they change some stuff - the book was really slow and kinda boring!",self-contradiction,lexical,Missing Context
"very well , and yourself ? nice weather we are having here",I wish the weather was nicer so i can go out and do fun things. ,self-contradiction,structure,
I love to cook. It is fun and rewarding !,"Cooking is such a pain, I only do it if I have to.",self-contradiction,lexical,
I think I do. My boyfriend says so anyway. He is very smart and works  for nasa! Wish I had that job. What do you do for a living?,"It must be boring working that long, I won't wish to work for NASA that long because I don't like the job.",self-contradiction,negation,
i am only eat pizza and i don't eat seafood.,i don't eat pizza i am eat only seafood it is healthy for our body.,self-contradiction,negation,
I just dabble in it I have to up to date on paramedic radio codes that have Java.,That's good i have learned everything i could learn about Java,self-contradiction,lexical,
I unsderstand that entirely,"I can't understand why you're sad at all. It was just an animal, it's not like it was your child.",self-contradiction,negation,Missing Context
"Iceland was absolutely beautiful. You can see lava fields, glaciers, and massive mountains.","Not at all, it was pretty bland, should have just stayed in the states.",self-contradiction,negation,Missing Context
"Indeed I love seeing all the old skeletons and cool things there, What are some good museums to visit in the US? ",I definitely don't wanna go there. Dinosaur bones and museums are boring and I hate them. ,self-contradiction,antonymy,
It would be fun! It's beneficial for birthdays because you can have multiple flavors to please everyone. ,That wouldn't work.  Cupcakes aren't good for birthday parties.,self-contradiction,negation,
"Woooow,  haha. Time for a game plan! I hope you can get rid of them,  you may need to call up some friends or an exterminator.",OK.we will go to dinner.,self-contradiction,N-a,Missing Context
